,,,,,,,
,,,,,,,
,,,,,,,
Project Number Name,Project Number,Project Name,Exe Proj Region,Project Description,Category,Charging,Project Status
365292: BENNETT  COLORADO MB (1. Backlog Project),365292,BENNETT  COLORADO MB,,,1. Backlog Project,,Active
369202: DIODES CHADDERTON NE (1. Backlog Project),369202,DIODES CHADDERTON NE,,,1. Backlog Project,,Active
374171: GRU (1. Backlog Project),374171,GRU,,,1. Backlog Project,,Active
375481: SNAPFINGER WPCP  GA (1. Backlog Project),375481,SNAPFINGER WPCP  GA,,,1. Backlog Project,,Active
377504: ROED-Spain-Russula-B (1. Backlog Project),377504,ROED-Spain-Russula-Big River II,NAM,,1. Backlog Project,PS Proj,Active
377504A: Big River Rusulla 2 (3. Product),377504A,Big River Rusulla 2,NAM,,3. Product,Prod(Proj),Active
377895: Technip Lake Charles(2. ITO),377895,Technip Lake Charles,NAM,,2. ITO,ITO,Active
377914: Trigid Reno Data Centre(2. ITO),377914,Trigid Reno Data Centre,NAM,Densator and UF Support,2. ITO,ITO,Active
381130: Santos PNG (1. Backlog Project),381130,Santos PNG,VEPS,Santos PNG Project ,1. Backlog Project,PS Proj,Active
383624: BIRCH HILL (1. Backlog Project),383624,BIRCH HILL,,,1. Backlog Project,,Active
38824: OAK BLUFFS  MA (1. Backlog Project),38824,OAK BLUFFS  MA,,,1. Backlog Project,,Active
388264: OAK BLUFFS (1. Backlog Project),388264,OAK BLUFFS,,,1. Backlog Project,,Active
39012: QUARRY RIDGE (1. Backlog Project),39012,QUARRY RIDGE,,,1. Backlog Project,,Active
390439: MID DAKOTA RURAL WAT (1. Backlog Project),390439,MID DAKOTA RURAL WAT,,,1. Backlog Project,,Active
394980: BARRIE WTP (1. Backlog Project),394980,BARRIE WTP,,,1. Backlog Project,,Active
"395639: COCA-COLA CANADA BOTTLING COMPANY RICHMOND, BC, CA(2. ITO)",395639,"COCA-COLA CANADA BOTTLING COMPANY RICHMOND, BC, CA",NAM,"395639-COCA-COLA CANADA BOTTLING COMPANY RICHMOND, BC, CA",2. ITO,ITO,Active
397305: GNUTTI (1. Backlog Project),397305,GNUTTI,,,1. Backlog Project,,Active
399072: DAIKIN PFAS (1. Backlog Project),399072,DAIKIN PFAS,,,1. Backlog Project,,Active
4000840: AMS PROPOSAL SUPPORT (1. Backlog Project),4000840,AMS PROPOSAL SUPPORT,NAM,,1. Backlog Project,,Active
4000842: PROGRAMMING SERVICE (1. Backlog Project),4000842,PROGRAMMING SERVICE,NAM,,1. Backlog Project,,Active
4000873: TECH SUPPORT - MEA - (1. Backlog Project),4000873,TECH SUPPORT - MEA -,NAM,,1. Backlog Project,,Active
4001008: PROJECT WARRANTY SUP(1. Backlog Project),4001008,PROJECT WARRANTY SUP,NAM,Project,1. Backlog Project,PS Proj,Active
4001044: AMS PROJECT MANAGEME (1. Backlog Project),4001044,AMS PROJECT MANAGEME,NAM,,1. Backlog Project,,Active
4001053: MPA - CORY COGEN - M (1. Backlog Project),4001053,MPA - CORY COGEN - M,NAM,,1. Backlog Project,,Active
4001670: STANDARD FGD THERMAL (1. Backlog Project),4001670,STANDARD FGD THERMAL,,,1. Backlog Project,,Active
4002943: MISC - PROJECTS Inso (1. Backlog Project),4002943,MISC - PROJECTS Inso,NAM,,1. Backlog Project,,Active
4003030: SERVICES ITO MEA (1. Backlog Project),4003030,SERVICES ITO MEA,MEA,,1. Backlog Project,,Active
4003037: InSource Supply Chai (1. Backlog Project),4003037,InSource Supply Chai,SUPPLY CHAIN,,1. Backlog Project,,Active
4003049: InSource CMS Support (1. Backlog Project),4003049,InSource CMS Support,CMS,,1. Backlog Project,,Active
4003343: MISC - PROJECTS Inso (1. Backlog Project),4003343,MISC - PROJECTS Inso,NAM,,1. Backlog Project,,Active
4003391: MISC - F&M PROD - 20 (1. Backlog Project),4003391,MISC - F&M PROD - 20,NAM,,1. Backlog Project,,Active
4004120: ES PROJECT ZLD STAND (1. Backlog Project),4004120,ES PROJECT ZLD STAND,,,1. Backlog Project,,Active
4004162: MISC-VEOLIA 00700000 (1. Backlog Project),4004162,MISC-VEOLIA 0070000069000 DTCV Electrical,EU CIS,,1. Backlog Project,,Active
401248: Coke Roanoke Budget Proposal(2. ITO),401248,Coke Roanoke Budget Proposal,NAM,Coke Roanoke Budget Proposal,2. ITO,ITO,Active
403515: HASSI MESSAOUD REFIN (2. ITO),403515,HASSI MESSAOUD REFINERY ,MEA/EA/ANZ/ROW,"PFD,LAYOUT,PID",2. ITO,ITO,Active
405858: GMS Textiles (2. ITO),405858,GMS Textiles,SA,Piping Estimation,2. ITO,ITO,Active
406735: 2D DRAWING SUPPORT (1. Backlog Project),406735,2D DRAWING SUPPORT,,,1. Backlog Project,,Active
407702: FIMA RO PROFLEX 423 (1. Backlog Project),407702,FIMA RO PROFLEX 423,,,1. Backlog Project,,Active
4079781: POTTAWATOMIE COUNTY (1. Backlog Project),4079781,POTTAWATOMIE COUNTY,,,1. Backlog Project,,Active
408262: POINT LOMA WWTP(2. ITO),408262,POINT LOMA WWTP,NAM,,2. ITO,ITO,Active
408526: COKE CHATTANOOGA NEW (1. Backlog Project),408526,COKE CHATTANOOGA NEW,,,1. Backlog Project,,Active
409366: SHELBURNE  ON (1. Backlog Project),409366,SHELBURNE  ON,,,1. Backlog Project,,Active
410012: Coke Allentown NF to (2. ITO),410012,Coke Allentown NF to RO Conversion,NAM,"Update GA, P&IDs, electrical drawing Format
Market Community - F&B 
",2. ITO,ITO,Active
413176: TSMC Thermal Phoenix (1. Backlog Project),413176,TSMC Thermal Phoenix/Arizona,NAM,,1. Backlog Project,,Active
41515001: MISC-415150012 DRAFT (1. Backlog Project),41515001,MISC-415150012 DRAFT,INDIA,,1. Backlog Project,,Active
41518210: MISC-415182105 DRAFT (1. Backlog Project),41518210,MISC-415182105 DRAFT,VEPS,,1. Backlog Project,,Active
416713: WELLSFORD (1. Backlog Project),416713,WELLSFORD,,,1. Backlog Project,,Active
41674: IRVING (1. Backlog Project),41674,IRVING,,,1. Backlog Project,,Active
41711: PROJECT EP REUSE N (1. Backlog Project),41711,PROJECT EP REUSE N,,,1. Backlog Project,,Active
418853: NEBRASKA POWER BEATR (1. Backlog Project),418853,NEBRASKA POWER BEATR,,,1. Backlog Project,,Active
421007: CAS ASSET CARE N (1. Backlog Project),421007,CAS ASSET CARE N,,,1. Backlog Project,,Active
422311: HASSI MESSAOUD WWTP PAKAGE(2. ITO),422311,HASSI MESSAOUD WWTP PAKAGE,MEA/EA/ANZ/ROW,"PFD.LAYOUT,PID",2. ITO,ITO,Active
424285: LITHIUM NEVADA (1. Backlog Project),424285,LITHIUM NEVADA,,,1. Backlog Project,,Active
"425110004: Industrial Wastewater Recycle and Treatment Plant for Amiral, Jubail, KSA(5. Pipeline Project)",425110004,"Industrial Wastewater Recycle and Treatment Plant for Amiral, Jubail, KSA",MEA,"The AMIRAL Industrial Wastewater Recycle and Treatment Plant (IWWTP), located in Al Jubail, Saudi Arabia, is a centralized facility designed to manage Wastewater, Spent Caustic and Treated Sewage Effluent collected from 4 existing/ Upcoming Facilities in and around the Al Jubail Industrial Area.",5. Pipeline Project,Green,Active
4251215108: SPORTS BOULEVARD(1. Backlog Project),4251215108,SPORTS BOULEVARD,MEA,-,1. Backlog Project,PS Proj,Active
42515153: MISC-VEOLIA 42515153 (1. Backlog Project),42515153,MISC-VEOLIA 42515153,VWT- KSA,,1. Backlog Project,,Active
426307: GOLDEN GATE MBR (2. ITO),426307,GOLDEN GATE MBR,NAM,PID,2. ITO,ITO,Active
427902: SQUARE DENIM 6 MLD M (1. Backlog Project),427902,SQUARE DENIM 6 MLD M,,,1. Backlog Project,,Active
428: 425 EXP LITHI (1. Backlog Project),428,425 EXP LITHI,,,1. Backlog Project,,Active
432026: RSI WTP (1. Backlog Project),432026,RSI WTP,,,1. Backlog Project,,Active
433920: ROED MALAYSIA ECELL (1. Backlog Project),433920,ROED MALAYSIA ECELL,,,1. Backlog Project,,Active
434308: MICRON BOISE B28 UPW (1. Backlog Project),434308,MICRON BOISE B28 UPW,,,1. Backlog Project,,Active
438640: KNIT ASIA 12 (1. Backlog Project),438640,KNIT ASIA 12,,,1. Backlog Project,,Active
442688: WAGONER WTP 5 (1. Backlog Project),442688,WAGONER WTP 5,,,1. Backlog Project,,Active
444385: City of Windsor MABR(2. ITO),444385,City of Windsor MABR,NAM,,2. ITO,ITO,Active
44508220: MISC-445082201 3D MO (1. Backlog Project),44508220,MISC-445082201 3D MO,VWT- QATAR,,1. Backlog Project,,Active
445731: ST MICROELECTRONICS (1. Backlog Project),445731,ST MICROELECTRONICS,,,1. Backlog Project,,Active
447642: BALD EAGLE VILLAGE W (1. Backlog Project),447642,BALD EAGLE VILLAGE W,,,1. Backlog Project,,Active
447688: JM Fabrics Ltd(2. ITO),447688,JM Fabrics Ltd,INDIA,Piping BOM & Estimation,2. ITO,ITO,Active
448863: Laverton EDR(2. ITO),448863,Laverton EDR,ANZ,PROPOSAL SUPPORT ,2. ITO,ITO,Active
449440: PRINCETON STREET  MA (1. Backlog Project),449440,PRINCETON STREET  MA,,,1. Backlog Project,,Active
449637: LINDE GEISMAR (1. Backlog Project),449637,LINDE GEISMAR,,,1. Backlog Project,,Active
45036725: MISC-4503672533 PIPE (1. Backlog Project),45036725,MISC-4503672533 PIPE,EGC,,1. Backlog Project,,Active
45037852: MISC-SWTS TAIWAN EAU (1. Backlog Project),45037852,MISC-SWTS TAIWAN EAU,APAC,,1. Backlog Project,,Active
45040403: MISC-4504040330 STD. (1. Backlog Project),45040403,MISC-4504040330 STD.,GLOBAL PROC,,1. Backlog Project,,Active
45042219: MISC-4504221989 ENG (1. Backlog Project),45042219,MISC-4504221989 ENG,EUR,,1. Backlog Project,,Active
4504450628: Plant Minnetonka MN - Scan to 3D Revit Modeling Project(10.Services),4504450628,Plant Minnetonka MN - Scan to 3D Revit Modeling Project,VWT NAM,Plant Minnetonka MN - Scan to 3D Revit Modeling Project for the Phase 3 scope,10.Services,Non PS Proj,Active
"4504469800: CSM - R3 Building LEL Analyzer Platform and Propane Tubing, Veolia Plant - Beaumont, TX(10.Services)",4504469800,"CSM - R3 Building LEL Analyzer Platform and Propane Tubing, Veolia Plant - Beaumont, TX",ES Services,"Project Objectives: - 
Establish a safe and ergonomic way to maintain and calibrate new LEL analyzers. - Design a new maintainance platform along with modfications of existing propone tubing and monitoring panels with related electrical cable trays. 

VGEC Scope of work: 
MD - 3d Modeling of Maintence Platform, Monitoring Panel, Cable Trays & Propone gas tubing rerouting as per relocation suggested. 

MD - Layout Arrangement drawing for Platform with Relocated 
Panels, Tubing & Cable Trays. 

MD - Tubing Isometric Drawing 

Analysis - Strucutural Analysis of the maintainance platform, Report & PE Stamping",10.Services,Non PS Proj,Active
451027: PURE WATER SOCAL (1. Backlog Project),451027,PURE WATER SOCAL,,,1. Backlog Project,,Active
452472: UTAH 8.4 MLD (1. Backlog Project),452472,UTAH 8.4 MLD,,,1. Backlog Project,,Active
454599: Mechanicsburg - Yellow Breeches WTP(2. ITO),454599,Mechanicsburg - Yellow Breeches WTP,NAM,,2. ITO,ITO,Active
454872: NOBLETON WRRF (1. Backlog Project),454872,NOBLETON WRRF,,,1. Backlog Project,,Active
454992: WESTERN BUTLER COUNTRY AUTHORITY (WBCA) MEMBRANE SYSTEM(2. ITO),454992,WESTERN BUTLER COUNTRY AUTHORITY (WBCA) MEMBRANE SYSTEM,NAM,,2. ITO,ITO,Active
459939: SG RASAU (1. Backlog Project),459939,SG RASAU,,,1. Backlog Project,,Active
460322: FOSS RESERVOIR DAF M (1. Backlog Project),460322,FOSS RESERVOIR DAF M,,,1. Backlog Project,,Active
463744: PRAGMATIC SEMICONDUC (1. Backlog Project),463744,PRAGMATIC SEMICONDUC,,,1. Backlog Project,,Active
464136: SAN DIEGO CAWRP  OZO (1. Backlog Project),464136,SAN DIEGO CAWRP  OZO,,,1. Backlog Project,,Active
465636: US   PA   NORTH HUNT (1. Backlog Project),465636,US   PA   NORTH HUNT,,,1. Backlog Project,,Active
465770: AGC CUNEO (PROFLEX + (1. Backlog Project),465770,AGC CUNEO (PROFLEX +,,,1. Backlog Project,,Active
465886: OSMOSISTEMAS (1. Backlog Project),465886,OSMOSISTEMAS,,,1. Backlog Project,,Active
466010: US HENRICO WTP VA -  (1. Backlog Project),466010,US HENRICO WTP VA - ,,,1. Backlog Project,,Active
4703606: 373-Lodha 1200 KLD S (1. Backlog Project),4703606,373-Lodha 1200 KLD S,INDIA,,1. Backlog Project,,Active
471438: PHARMACITY ZLD (1. Backlog Project),471438,PHARMACITY ZLD,,,1. Backlog Project,,Active
475380: SFWMD KRASR WTP  FL (1. Backlog Project),475380,SFWMD KRASR WTP  FL,,,1. Backlog Project,,Active
476355: WHITEHORSE SELKIRK U (1. Backlog Project),476355,WHITEHORSE SELKIRK U,,,1. Backlog Project,,Active
"476761: OXFORD WWTP, CITY OF (2. ITO)",476761,"OXFORD WWTP, CITY OF LONDON",NAM,"PFD,PID,LAYOUT",2. ITO,ITO,Active
476976: CCCSD - ZEELUNG EVAL (1. Backlog Project),476976,CCCSD - ZEELUNG EVAL,,,1. Backlog Project,,Active
477476: BRUSSELS ENERGY (1. Backlog Project),477476,BRUSSELS ENERGY,,,1. Backlog Project,,Active
477571: CLARKSVILLE WTP SU (1. Backlog Project),477571,CLARKSVILLE WTP SU,,,1. Backlog Project,,Active
478434: MISC-478434 ALASKA D (1. Backlog Project),478434,MISC-478434 ALASKA D,VEPS,,1. Backlog Project,,Active
478789: YAVAPAI APACHE WRF-M (1. Backlog Project),478789,YAVAPAI APACHE WRF-M,,,1. Backlog Project,,Active
479153: LEIGH CREEK UREA PRO (1. Backlog Project),479153,LEIGH CREEK UREA PRO,,,1. Backlog Project,,Active
4802740: 373-Deccan Fine Chem (1. Backlog Project),4802740,373-Deccan Fine Chem,INDIA,,1. Backlog Project,,Active
480436: Wolfsberf ka mbr (2. ITO),480436,Wolfsberf ka mbr,INDIA,ITO ,2. ITO,ITO,Active
480482: Block B PWT Package(3. Product),480482,Block B PWT Package,VEPS,,3. Product,Product,Active
480842: BLOCK B    PWT PACKA (1. Backlog Project),480842,BLOCK B    PWT PACKA,,,1. Backlog Project,,Active
480898: CITY OF ST. MICHAEL- (2. ITO),480898,CITY OF ST. MICHAEL-MBR,NAM,PID,2. ITO,ITO,Active
482279: MICROCHIP 3 X ZPAK R (1. Backlog Project),482279,MICROCHIP 3 X ZPAK R,,,1. Backlog Project,,Active
482545: MOOSOMIN SK (1. Backlog Project),482545,MOOSOMIN SK,,,1. Backlog Project,,Active
484812: FAKHRUDDIN 8.4 MLD M (2. ITO),484812,FAKHRUDDIN 8.4 MLD MBR ETP,SA,,2. ITO,,Active
485081: COKE LACHINE NEW PUR (1. Backlog Project),485081,COKE LACHINE NEW PUR,,,1. Backlog Project,,Active
485187: ST. GEORGE WPCP (1. Backlog Project),485187,ST. GEORGE WPCP,,,1. Backlog Project,,Active
488440: LEGIUN MILL WRF MBR (1. Backlog Project),488440,LEGIUN MILL WRF MBR,,,1. Backlog Project,,Active
491096: CITY OF AVON PARK MBR(2. ITO),491096,CITY OF AVON PARK MBR,NAM,,2. ITO,ITO,Active
491470: MITSUBISHI CHEMICAL (2. ITO),491470,MITSUBISHI CHEMICAL,NAM,,2. ITO,,Active
491674: Irving Pulp Ultrafiltration via Stantec(2. ITO),491674,Irving Pulp Ultrafiltration via Stantec,NAM,,2. ITO,ITO,Active
493177: GAMA (1. Backlog Project),493177,GAMA,,,1. Backlog Project,,Active
493241: BARNSTABLE MA (1. Backlog Project),493241,BARNSTABLE MA,,,1. Backlog Project,,Active
496270: 5 MLD ZERO LIQUID DI (1. Backlog Project),496270,5 MLD ZERO LIQUID DI,,,1. Backlog Project,,Active
497229: YELLOWSTONE NATIONAL (1. Backlog Project),497229,YELLOWSTONE NATIONAL,,,1. Backlog Project,,Active
498446: AIR PRODUCTS DARRO (1. Backlog Project),498446,AIR PRODUCTS DARRO,,,1. Backlog Project,,Active
4988426: ATAG MECALPE PROJETO (1. Backlog Project),4988426,ATAG MECALPE PROJETO,,,1. Backlog Project,,Active
50000-1: Multi-Project Docume (1. Backlog Project),50000-1,Multi-Project Document Control Support for VEPS,VEPS,Multi-Project Document Control Support for VEPS,1. Backlog Project,PS Proj,Active
50000-2: Multi-Project Docume (1. Backlog Project),50000-2,Multi-Project Document Control Support for NAM,NAM,Multi-Project Document Control Support for NAM,1. Backlog Project,PS Proj,Active
50000-3: Multi-Project Docume (1. Backlog Project),50000-3,Multi-Project Document Control Support for ANZ,EA/ANZ/ROW,Multi-Project Document Control Support for ANZ,1. Backlog Project,PS Proj,Active
50000-4: Multi-Project Document Control Support(1. Backlog Project),50000-4,Multi-Project Document Control Support,VEPS/EMEA,Multi-Project Document Control Support for VEPS & EMEA Region,1. Backlog Project,PS Proj,Active
500109: FAIRMONT WTP(1. Backlog Project),500109,FAIRMONT WTP,NAM,,1. Backlog Project,PS Proj,Active
500127: ASHLAND TERTIARY(7. Base),500127,ASHLAND TERTIARY,NAM,,7. Base,PS Proj,Active
500151: Marysville (1. Backlog Project),500151,Marysville,NAM,Just adding the project,1. Backlog Project,PS Proj,Active
500157: DUCK RIVER WTP(3. Product),500157,DUCK RIVER WTP,NAM,,3. Product,Product,Active
500202: PORT HOPE (1. Backlog Project),500202,PORT HOPE,,,1. Backlog Project,,Active
500209: LONG SAULT(1. Backlog Project),500209,LONG SAULT,NAM,500209 - LONG SAULT,1. Backlog Project,Non PS Proj,Active
"500257: KERRVILLE, TX 1.0 MGD WTP(3. Product)",500257,"KERRVILLE, TX 1.0 MGD WTP",NAM,P&ID UPDATION,3. Product,Product,Active
500273: SAUGEEN SHORES WTP (1. Backlog Project),500273,SAUGEEN SHORES WTP,,,1. Backlog Project,,Active
500303: NEW BALTIMORE(3. Product),500303,NEW BALTIMORE,NAM,,3. Product,Product,Active
500314: BEAVER CREEK WWTP (1. Backlog Project),500314,BEAVER CREEK WWTP,,,1. Backlog Project,,Active
500328: ENTIRE NEW O M FOR H (1. Backlog Project),500328,ENTIRE NEW O M FOR H,,,1. Backlog Project,,Active
500384: COOLBAUGH TOWNSHIP (1. Backlog Project),500384,COOLBAUGH TOWNSHIP,,,1. Backlog Project,,Active
500411: PIKE BROOK (1. Backlog Project),500411,PIKE BROOK,,,1. Backlog Project,,Active
500510: PROCESS WATER TREATM (1. Backlog Project),500510,PROCESS WATER TREATM,,,1. Backlog Project,,Active
500530(101010N): PINE CREEK WWTP PILOT(1. Backlog Project),500530(101010N),PINE CREEK WWTP PILOT,NAM,500530(101010N)-PINE CREEK WWTP PILOT,1. Backlog Project,Non PS Proj,Active
500657: Micron 10A Loop 3 Ex (2. ITO),500657,Micron 10A Loop 3 Expansion,EA/ANZ/ROW,ITO,2. ITO,ITO,Active
500691: BIOKYOWA(1. Backlog Project),500691,BIOKYOWA,NAM,,1. Backlog Project,PS Proj,Active
500730: WESTERN FACILITIES ( (1. Backlog Project),500730,WESTERN FACILITIES (,,,1. Backlog Project,,Active
500849: EASTLAND COUNTY CONT (1. Backlog Project),500849,EASTLAND COUNTY CONT,NAM,,1. Backlog Project,,Active
500855: CCR NACOGDOCHES (1. Backlog Project),500855,CCR NACOGDOCHES,,,1. Backlog Project,,Active
500862: 761482-SVMD WASTEWAT (1. Backlog Project),500862,761482-SVMD WASTEWAT,,,1. Backlog Project,,Active
500979: HUNGARY STAT ASSETS (1. Backlog Project),500979,HUNGARY STAT ASSETS,EUR,,1. Backlog Project,,Active
500999: ROED-SPAIN-RUSSULA-R (1. Backlog Project),500999,ROED-SPAIN-RUSSULA-R,,,1. Backlog Project,,Active
500999A: Big River Rusulla 1 (3. Product),500999A,Big River Rusulla 1,NAM,,3. Product,Prod(UV),Active
501032: EMEA: 106370826 BMS (1. Backlog Project),501032,EMEA: 106370826 BMS,EUR,,1. Backlog Project,,Active
"501033: 501033 SYS-MOBILE,GTM DEOX/DEGAS,TRLR,EU (DMS)(4. Regional prgm)",501033,"501033 SYS-MOBILE,GTM DEOX/DEGAS,TRLR,EU (DMS)",EUR,,4. Regional prgm,PS Proj,Active
501136: Sicamous(1. Backlog Project),501136,Sicamous,NAM,,1. Backlog Project,PS Proj,Active
501220: EMEA 117242528 SRO C (1. Backlog Project),501220,EMEA 117242528 SRO C,EUR,,1. Backlog Project,,Active
501256: NAM M-PAK 80 QTY 2 E (1. Backlog Project),501256,NAM M-PAK 80 QTY 2 E,NAM,,1. Backlog Project,,Active
501290: EMEA: 121319149 DELT (1. Backlog Project),501290,EMEA: 121319149 DELT,EUR,,1. Backlog Project,,Active
501319: MATERIAL MASTER IT D (1. Backlog Project),501319,MATERIAL MASTER IT D,NAM,,1. Backlog Project,,Active
501412: EMEA 120252415 APAC_ (1. Backlog Project),501412,EMEA 120252415 APAC_,NAM,,1. Backlog Project,,Active
501419: OAK HARBOR - HOFFMAN (1. Backlog Project),501419,OAK HARBOR - HOFFMAN,NAM,,1. Backlog Project,,Active
501426: CITY OF EUCLID (KOKO (1. Backlog Project),501426,CITY OF EUCLID (KOKO,NAM,,1. Backlog Project,,Active
501441: SULAIBIYA EXPANSION (1. Backlog Project),501441,SULAIBIYA EXPANSION,MEA,,1. Backlog Project,,Active
501477: TOWN OF GRANDE CACHE(10.Services),501477,TOWN OF GRANDE CACHE,ES Services,,10.Services,Non PS Proj,Active
501489: STOCKHOLM VATTEN HEN (1. Backlog Project),501489,STOCKHOLM VATTEN HEN,EUR,,1. Backlog Project,,Active
501564: EMEA 116892787 QTY4 (1. Backlog Project),501564,EMEA 116892787 QTY4,EUR,,1. Backlog Project,,Active
501565: GE AVIATION ORDER - (1. Backlog Project),501565,GE AVIATION ORDER -,NAM,,1. Backlog Project,,Active
501599: 102490-ZACHRY WOLF H (1. Backlog Project),501599,102490-ZACHRY WOLF H,,,1. Backlog Project,,Active
501599: Constellation(3. Product),501599,Constellation,NAM,,3. Product,Prod(Proj),Active
501628: CHARLTON LANE (J979) (1. Backlog Project),501628,CHARLTON LANE (J979),EUR,,1. Backlog Project,,Active
501649: EMEA 120197867 - EME (1. Backlog Project),501649,EMEA 120197867 - EME,EUR,,1. Backlog Project,,Active
501656: Softener B Resin Rep (1. Backlog Project),501656,Softener B Resin Rep,NAM,,1. Backlog Project,,Active
501718: Debottlenecking EMEA (1. Backlog Project),501718,Debottlenecking EMEA,EUR,,1. Backlog Project,,Active
501721: EIN ERON MBR B476 - (1. Backlog Project),501721,EIN ERON MBR B476 -,EUR,,1. Backlog Project,,Active
501725: MICRON FAB10X FULL O (1. Backlog Project),501725,MICRON FAB10X FULL O,ANZ,,1. Backlog Project,,Active
501793: HENDERSON SOUTH WTP (1. Backlog Project),501793,HENDERSON SOUTH WTP,NAM,,1. Backlog Project,,Active
501805: SATU 30 MLD - ENGINE (1. Backlog Project),501805,SATU 30 MLD - ENGINE,ANZ,,1. Backlog Project,,Active
501921: Liquid Particle Coun (1. Backlog Project),501921,Liquid Particle Coun,NAM,,1. Backlog Project,,Active
501998: COCA-COLA SOUTHWEST  (1. Backlog Project),501998,COCA-COLA SOUTHWEST ,,,1. Backlog Project,,Active
502044: TOWN OF DEVON WWTP U (1. Backlog Project),502044,TOWN OF DEVON WWTP U,NAM,,1. Backlog Project,,Active
502117: METITO QG MBR - CLOS (1. Backlog Project),502117,METITO QG MBR - CLOS,MEA,,1. Backlog Project,,Active
502119: DC COOK - CLOSEOUT (1. Backlog Project),502119,DC COOK - CLOSEOUT,NAM,,1. Backlog Project,,Active
